Text,Date,Sentiment
"  Protective Put, a simple addition for peace and confidence: Shubham Agarwal",2023-05-06,2
  More than 40 smallcaps give double digit return as market ends flat,2023-05-06,0
"  Dow has best day since January 6 after Apple rally, jobs data",2023-05-06,0
  Daily Voice | Green Portfolio's Divam Sharma expects a Fed pivot starting September,2023-05-06,0
"Union Bank Q4 results: PAT up by 61%, declares dividend; key highlights here",2023-05-06,0
"Seven Adani stocks lose ₹3,782 crore m-cap this week; check details",2023-05-06,2
"Paytm strengthens merchant payments leadership, deploys 71 lakh devices in April",2023-05-06,1
Stock mkt dips on HDFC twins rebalancing. Experts list out these stocks to buy,2023-05-06,2
Buy or sell: Sumeet Bagadia recommends three stocks to buy on Monday,2023-05-06,1
"Three 1:2 bonus shares: Multibagger IPO turns ₹14,685 to ₹1.58 lakh in 6 yrs",2023-05-06,2
"Global markets: Dow has best day since 6 January after Apple rally, jobs data",2023-05-06,1
"MSCI to lower free float of 2 Adani group cos — Adani Total, Adani Transmission",2023-05-06,2
Apple share price buoys US stock market after Q4 earnings,2023-05-06,1
HDFC twin stocks slide over outflow fears post merger,2023-05-06,2
"IT stock hit fresh 52-week-high after robust Q4 numbers, PAT rises 31% YoY, 100% dividend declared",2023-05-05,1
"Bulk deals on May 5: Manappuram, others exchange hands; Check buyers & sellers",2023-05-05,2
"Paytm's consolidated net loss narrows to ₹167.5 cr in Q4, revenue up over 51%",2023-05-05,2
"Ashish Dhawan stock hit 20% upper circuit after Q4 net profit rises 113%, Board declares 250% dividend",2023-05-05,1
Learn with ETMarkets: All you need to know about premium decay in options trading,2023-05-06,0
More dominos waiting to fall in the US banking business: Aswath Damodaran,2023-05-06,2
Paul Ormerod's investment rules for success for sceptical investors,2023-05-06,0
"Adani Group: MSCI to reduce free float in Adani Total Gas, Adani Transmission in May review",2023-05-06,2
Stock picks of the week: 4 stocks with score improvement and upside potential of up to 23%,2023-05-06,1
4 small and mid caps FMCG stocks with strong brands with an upside potential up to 32 %,2023-05-06,1
"Rs 11,000 cr boon! Not only videshi, but even desi investors bet big in 5 Adani companies in March quarter",2023-05-06,0
Midcaps with long term perspective; 4 stocks with high ROE & net profit margin,2023-05-06,1
China’s lackluster corporate profits add to angst for investors,2023-05-06,1
Top 10 stocks that saw increase in retail ownership in March quarter,2023-05-06,0
Wild week in banks sends indexes of cross-asset tumult spinning,2023-05-06,1
Poonawalla Fincorp and Bajaj Finance are top picks from NBFC sector for FY24: Siddhartha Khemka,2023-05-06,1
Apple's results send shares surging to nine-month high,2023-05-06,1
5 world market themes for the week ahead,2023-05-06,1
Scope Ratings places US credit ratings under review for possible downgrade,2023-05-06,0
"US bank lending touches record as deposits fall, Fed data shows",2023-05-06,2
"Earnings booster! 44 smallcap, 5 midcap stocks gave Sensex-beating returns last week",2023-05-06,2
"Dow has best day since Jan 6 after Apple rally, jobs data",2023-05-06,0
Silver Point gets NCLT nod to take over IVRCL Chengapalli Tollways,2023-05-06,1
HDFC twins log the biggest single-day decline in 3 years,2023-05-06,1
Stocks drop 1% on deep selloff in HDFC twins,2023-05-06,2
Adani Enterprises' ability to service debt improves,2023-05-06,2
Top 5 large- & mid-cap funds that have given inflation-beating returns since launch,2023-05-05,0
Demand uncertainty may weigh on Havells stock; B2C sales show muted trend,2023-05-06,0
"Nexus Select Trust to raise Rs 3,200 crore through IPO next week",2023-05-06,1
"Trent stays on growth track, stock rises 18% in 3 months; hit margins in Q4",2023-05-06,1
"Sebi revises requirements for issuance, listing of transition bonds",2023-05-06,0
"HDFC twins take mkts down by 1%, BSE-listed firms investors lose Rs 1.4 trn",2023-05-06,2
HDFC twins sink 6% on MSCI weighting update; biggest 1-day fall in 3 years,2023-05-06,2
"Demat additions slow in April despite sharp market rally, shows data",2023-05-06,0
"Sensex plunges 695 pts, Nifty below 18,100 as HDFC twins sink up to 6%",2023-05-06,2
Sebi prescribes additional disclosures for issuing transition bonds,2023-05-06,0
Federal Bank slumps 8% despite record profit of Rs 903 cr in Q4; here's why,2023-05-06,2
CEAT rallies over 5% in weak market on 5-fold jump in Q4 net,2023-05-06,1
ITC increases stake in food brand Sproutlife to 39.42% for Rs 175 cr,2023-05-06,1
Limited downside seen in markets as over half of Nifty500 stks hold 200-DMA,2023-05-06,0
Investors book profit in BHEL; stock slides 7% after soaring 26% in a month,2023-05-06,1
"Sebi to tell brokers, mutual funds to limit use of financial influencers",2023-05-06,0
"Stable macro data, earnings trigger FPI buying in shares in April: NSDL",2023-05-06,1
Paytm shares rise 4% ahead of Q4FY23 results; here's what brokerages expect,2023-05-06,1
United Breweries hits 52-week low as high RM prices hurt Q4FY23 margins,2023-05-06,1
Sundram Fasteners hits new life-time high; gains 5% on solid Q4 earnings,2023-05-06,1
Manappuram in freefall as ED freezes Rs 143 cr-assets; sinks 21% in 3 days,2023-05-06,2
"Gold price rises Rs 220 to Rs 62,400, silver jumps Rs 1,150 to 78,250",2023-05-06,1
Bitcoin perpetuals becoming an even bigger driver of digital token's price,2023-05-06,1
"Coal India Q4 preview: Revenue growth, PAT, wage hike impact, key factors here",2023-05-06,1
"  Coal India preview: Offtake to be higher in Q4; guidance on coal availability, price hike to be in focus",2023-05-06,1
  5 things to watch out for during the Berkshire Hathaway AGM,2023-05-06,1
"FPIs pump in ₹10,850 cr in equities in 4 days of May; DIIs turn net sellers",2023-05-06,1
How much funds outflow will HDFC Bank-HDFC merged entity see after MSCI plan,2023-05-06,0
"8 stocks to turn ex-dividend; Oracle Financial, Coforge, others: Check list here",2023-05-06,0
Berkshire Hathaway earnings: Check details of Warren Buffet-led firm's Q1 report,2023-05-06,1
"Berkshire AGM: Investment wisdom, succession plan among 10 things Buffett may speak on",2023-05-06,1
Temasek considers investing $100 million in BlueStone,2023-05-06,1
Portfolio created by ChatGPT reports better returns than top funds in UK,2023-05-06,0
"  Coal India March quarter net profit misses estimates, down 18%",2023-05-07,2
  Momentum takes break but these 3 stocks to return upto 9% in short-term,2023-05-07,0
  TPG-backed RR Kabel files IPO papers with Sebi,2023-05-07,0
"  Headwinds from US banks fallout, debt default fears to keep investors anxious",2023-05-07,0
"  Daily Voice | IT sector growth expected to be muted in FY24, recovery likely from FY25, says Pankaj Pandey of ICICI Securities",2023-05-07,1
  Trade setup for Monday: Top 15 things to know before the opening bell,2023-05-07,1
  Dalal Street Week Ahead: 10 key factors that will keep traders busy,2023-05-07,0
"Mahanagar Gas could hit lifetime high, brokerage sees 75% potential upside",2023-05-07,1
Cooling commodities warm Q4 earnings,2023-05-07,2
"Ashish Kacholia multibagger stock reports 72% Q4 PAT growth, Board declares ₹10 per share dividend",2023-05-07,1
"Coal India logs 62% growth in FY23 net profit at Rs28,124 cr",2023-05-07,1
"Ashish Kacholia stock records highest ever PAT margin, Board declares stock split and 50% dividend",2023-05-07,1
Eight Nifty 50 stocks rally more than 10% in 2023 so far; check details,2023-05-07,0
"Dolly Khanna portfolio stock posts 54% fall in Q4 net profit, Board recommends dividend",2023-05-07,2
"Grindwell Norton Q4 Earnings: PAT rise 10% YoY in Q4, net income up 20%, Board declares highest ever dividend",2023-05-07,1
"Bank of India Q4 Results: PAT up 18% to Rs.1,350 Cr, NII jump 37%, 20% dividend declared",2023-05-07,1
"TVS Electronics fixes record date for dividend, scrip trading 120% above 52-week-low",2023-05-07,0
Here is why Paytm and BirlaSoft should be on your radar,2023-05-07,1
"Canara Bank, Tata Motors, Vedanta, L&T, others declare results this week",2023-05-07,1
"FPIs remain buyers of Indian equities; invest ₹10,850 crore during May 2-5",2023-05-07,0
More dominos are waiting to fall: Aswath Damodaran on US banking sector,2023-05-07,2
"CAMS declares final dividend, net revenue up 2.3% YoY in Q4 FY23",2023-05-07,0
"FII flows, economic data, Q4, key factors to dictate markets in week ahead",2023-05-06,0
"Stock Radar: Buy Indian Hotels for Rs 385 in next 2-3 weeks, says Shivangi Sarda of Motilal Oswal Financial Services Ltd.",2023-05-07,1
"Next milestone to be free cashflow positive, AI to bring efficiencies: Paytm CEO Vijay Shekhar Sharma",2023-05-07,1
Market Trading Guide: ITC among 5 stock recommendations for Monday,2023-05-07,1
"High earnings, low commodity prices augur well for India",2023-05-07,1
Stock traders hunt for winners in Asia as Fed’s policy turns,2023-05-07,2
"Mankind Pharma set for stellar debut on Monday, Street sees 8-10% listing premium",2023-05-07,1
Ahead of Market: 10 things that will decide D-Street action on Monday,2023-05-07,0
Airlines have a cousin called shipping: A few survivors & winner takes it all,2023-05-07,1
How to navigate the shifting landscape of wealth management,2023-05-07,2
Learn With ETMarkets: Futures Contracts 201- Analyzing Futures Contracts,2023-05-07,1
Long-term wealth creation: How looking at underlying business makes the difference,2023-05-07,2
Debt AIFs ready for a big leap with the new lease of life from regulators,2023-05-07,0
Dividend yield & probability of capital gains: The non-classical combination of income from stock market,2023-05-07,0
"Coforge, Laurus Labs among 8 stocks to trade ex-dividend this week",2023-05-07,0
"FPIs remain buyers of Indian equities; invest Rs 10,850 cr in just four trading sessions",2023-05-07,0
"Mcap of four of top 10 valued firms fall by Rs 56,006 cr; HDFC twins take biggest hit",2023-05-07,2
Domestic investors are back led by tax harvesting and peaking interest rates,2023-05-07,0
"MSCI rejig, Q4 results among top 8 factors to drive Dalal Street this week",2023-05-07,1
Recovery of written-off loans helps Union Bank post 93% growth in Q4 profits,2023-05-07,1
"Buffett's Berkshire posts $35.5 bn profit, buys back more stock",2023-05-07,1
Warren Buffett on his favorite stock and other Berkshire holdings,2023-05-07,1
"Berkshire Meeting Takeaways: Buffett reaffirms abel as heir, blames bank leaders for failures",2023-05-07,1
Q4 earnings: India Inc's net profit growth slowest in 11 quarters,2023-05-07,1
Seeing stress in MSME sector... had slippages of Rs 3K cr: A Manimekhalai,2023-05-07,1
Expect sideways movement in market with focus on Smallcap and midcap space,2023-05-07,1
"FPIs invest Rs 10,850 cr in just 4 trading sessions, due to stable economy",2023-05-07,0
"Q4 earnings, foreign fund trading key triggers for mkts this week: Analysts",2023-05-07,0
"Mcap of 4 of top 10 firms falls by Rs 56,006 cr, HDFC twins falls steepest",2023-05-07,2
TPG-backed RR Kabel files for IPO to raise up to $27.5 million,2023-05-07,1
"Chinese users of Binance, FTX show holes in Beijing's cryptocurrency ban",2023-05-07,2
Centre plans to tweak allocation of FAME funds for electric buses,2023-05-07,0
"  Lupin, Mahanagar Gas and VIP Industries: Top stocks to watch on May 9",2023-05-08,1
  Trade setup for Tuesday: Top 15 things to know before the opening bell,2023-05-08,1
"  Nexus Select Trust raises Rs 1,440 crore via anchor book ahead of IPO",2023-05-08,1
"  F&O Manual: Amid bulls' domination, analysts see resistance at 18,500",2023-05-08,1
"  Warren Buffett warns of US slowdown, China risks: Key takeaways from Berkshire Hathaway's annual meeting",2023-05-08,1
"  One-time loss, weak operational performance drags UPL Q4 earnings below street expectations",2023-05-08,2
  User groups in real estate forced to evolve norms when policymakers fail,2023-05-08,0
"  Technical View | Nifty hits fresh 2023 high, requires to hold 18,200 for further sharp upmove",2023-05-08,1
"  Taking stock: Sensex jumps 710 points, Nifty closes above 17,250",2023-05-08,1
  Gainers & Losers: 10 stocks that moved the most on May 8,2023-05-08,2
"  Market LIVE: Nifty crosses 18,250; IndusInd Bank, Marico & Paytm in focus | Closing Bell",2023-05-08,1
  Moneycontrol Pro Panorama | The credit angle to a rural slowdown,2023-05-08,0
  Mankind Pharma likely to debut with double-digit premium on May 9,2023-05-08,1
  Metals gain on soft dollar index | Steel prices surge by 2.5% in China | Commodities Live,2023-05-08,1
  Tatva Chintan Pharma drops 8% as margin disappoints,2023-05-08,2
  Analyst call tracker | IT stocks cement position in ‘Maximum Pessimism’ list after weak Q4 show; Adani shines on optimism score,2023-05-08,0
  Why Warren Buffett prefers cash,2023-05-08,1
"  IndusInd Bank up 5%, recovers after brokerages reaffirm faith",2023-05-08,1
  JSW Energy gains 5% on power purchase deal with Solar Energy Corp,2023-05-08,1
  Capacite Infra rises 5% on bagging Rs 224-crore order,2023-05-08,1
"  F&O Manual | Bulls drive market rebound, but bears on the prowl; finance stocks in focus",2023-05-08,1
"  Marico gains on strong Q4 show led by Parachute, analysts eye diversification",2023-05-08,1
"  Canara Bank, Adani Port gain entry into Kotak's largecap portfolio",2023-05-08,1
  UPL shares trade marginally higher on hopes of robust Q4 earnings,2023-05-08,1
"  First Republic Bank, its board members and KPMG hung around each other for too long",2023-05-08,1
  Uber really needs Lyft to stay in the rideshare race,2023-05-08,0
  Equitas Small Finance Bank jumps 7% after record net profit in Q4,2023-05-08,1
"  A state-owned power utility's failure forced South Africa to let its market work. For India, a lesson",2023-05-08,1
  Coal India slumps as higher wage provisioning plays spoilsport in Q4,2023-05-08,1
  Kotak sees limited scope for earnings upgrades in India's micro outlook,2023-05-08,1
  In The Money | Know the basics of options trading,2023-05-08,0
  TCNS Clothing slumps as shareholders feel deprived over share swap ratio,2023-05-08,2
  Brokerages see limited growth for core business of Bharat Forge,2023-05-08,1
"  Britannia gains on a robust Q4 but brokerages cautious on valuation, volumes",2023-05-08,1
"  Top 10 trading ideas for next 3-4 weeks as bulls dare the bear trap, keep markets charged",2023-05-08,0
  The Eastern Window: Internet nationalism targets foreign brands in China,2023-05-08,1
  The slow run on US banks: Deposits in decline even before SVB fiasco,2023-05-08,1
  Daily Voice | Banks can show double-digit earnings growth in coming quarters: Kotak Mahindra Life's Hemant Kanawala,2023-05-08,1
  Stock Market Today: Top 10 things to know before the market opens,2023-05-08,1
"  Closing Bell: Sensex gains 710 pts, Nifty settles above 18,250; Tata Motors, IndusInd Bank, Bajaj Finance shine",2023-05-08,1
"  Buzzing Stocks: Britannia, Marico, Lupin, Coal India, bank stocks and others in focus",2023-05-08,1
  Commodity Futures | Falling channel breakout in Guar Gum,2023-05-08,2
  Cash Market | 3-month consolidation breakout in Ambuja Cements,2023-05-08,1
  Cash Market | A low-risk trade in Federal Bank,2023-05-08,2
  RBI simplifies just a few provisions of the overly complex regulations for CICs,2023-05-08,0
"  Hot Stocks | Here's why you should bet on NOCIL, Hitachi Energy India for short term",2023-05-08,0
  Oil prices creep higher as recession fears begin to fade,2023-05-08,1
"  Asia shares mostly higher, focus on US bank data",2023-05-08,1
  Cash Market | TVS Motors breaks out of a cup-and-a-handle trend continuation pattern,2023-05-08,1
  Options Trade | An earning-based non-directional options strategy in Coal India,2023-05-08,1
  Currency Options | A low-risk and high probability options strategy in currency pair USDINR,2023-05-08,2
  Best of India bond rally may be over with sales deluge coming,2023-05-08,1
"  Coal India net profit declines 18% on higher provisions, misses estimates",2023-05-08,1
KKR posts 26% decline in earnings in first quarter,2023-05-08,2
"Prevest Denpro reports 35% rise in Q4 PAT, Board gets new members to drive future growth",2023-05-08,1
Kalpataru Power climbs as Board recommends 350% dividend and Q4 PAT rises 22%,2023-05-08,1
Bulls return to mkts with a bang after Friday’s drubbing,2023-05-08,0
HDFC Life sets record date for final dividend for FY23: Key details to note,2023-05-08,0
"Ashish Dhawan portfolio: Birlasoft declares 100% dividend, net profit falls 18% in Q4",2023-05-08,0
"Bulk Deals On May 8: Som Dist, others exchange hands; Check buyers, sellers",2023-05-08,2
"Monday trade: FIIs buy ₹2,123 cr in Indian market on 8 May, DIIs buy ₹245 cr",2023-05-08,1
Markets gain more than 1% helped by easing slowdown concerns,2023-05-08,2
"Mahanagar Gas Q4 Results: Net profit rises 204% to ₹268 crore, new dividend",2023-05-08,0
"UPL net profit shrinks to Rs. 3,569 crore due to planting season delay",2023-05-08,2
Auction for sale (re-issue) of govt securities: Here’s what you need to know,2023-05-08,0
Best & worst performing sectors and stocks in FY23,2023-05-08,1
Hero MotoCorp Q4FY23 earnings beat estimates; Here's what brokerages say,2023-05-08,1
"Buffett and Munger on Success, Toxicity and Elon Musk",2023-05-08,1
"IT stock Happiest Minds records 25% revenue growth in Q4, PAT rises 10%, Board declares dividend",2023-05-08,1
"Anil Kumar Goel sugar stock posts 54% YoY growth in Q4 PAT, 100% dividend declared",2023-05-08,1
"Top gainers, losers in trade today: Tata Motors, ONGC; check full list",2023-05-08,1
"Sensex, Nifty clock strong gains; investors richer by over ₹2L Cr in a day",2023-05-08,1
"Multibagger stock surges over 350% in 1 year recommends 400% dividend, Q4 net profit quadruples",2023-05-08,0
"Indian Bank Q4 Results: Net profit up 47% to ₹1,447.3 cr, dividend declared",2023-05-08,0
"Exide Industries Q4 Earnings: Net profit falls 95% YoY, Board declares 200% dividend",2023-05-08,2
Aditya Birla Fashion shares fall 4% post TCNS acquisition announcement,2023-05-08,2
"Canara Bank Q4: Net profit up 90% to ₹3175 cr, dividend declared",2023-05-08,1
Why Bank Nifty outperformed Sensex today — explained,2023-05-08,1
"UPL Q4FY23 results: Net profit falls by 42.6%, declares dividend",2023-05-08,2
"Two upcoming IPOs in May: Nexus Select, Auro Impex & Chemicals; check details",2023-05-08,0
Rekha Jhunjhunwala portfolio: Two Tata group stocks hit 52-week high,2023-05-08,1
Zen Technologies shares: Drone maker stock jumps 13% after Q4 results,2023-05-08,1
Paytm shares rise over 5% post Q4 numbers; Citi sees a 66% upside; details here,2023-05-08,1
"Britannia Industries, Nestle India, ITC touch 52-week high; check details",2023-05-08,1
"Q4FY23 earnings in line so far, says Motilal Oswal; banks shine, metals drag",2023-05-08,1
Coal India share price down over 2% as Q4 net profit falls 18% YoY,2023-05-08,2
This is the Biggest Risk to the Stock of M&M,2023-05-08,2
Global market: SGX Nifty to US dollar — key triggers for stock market today,2023-05-08,1
"Stocks to Watch on May 8: Adani Group, Britannia, Coal India, Marico, Paytm",2023-05-08,1
Day trading guide for today: Six buy or sell stocks for Monday — May 8,2023-05-08,1
Buy or sell: Vaishali Parekh recommends three stocks to buy today — 8th May,2023-05-08,1
Vedanta group entity trims promoter stake silently,2023-05-08,2
"Stock Radar: Buy Syngene International for a target of Rs 825, says Gaurav Bissa of InCred Equities",2023-05-08,1
"Risk-reward attractive in RIL, AGM to give colour to JFS, Retail ops: JPMorgan",2023-05-08,2
"Market Trading Guide: Bharti Airtel, Bajaj Finserv among 6 stock recommendations for Tuesday",2023-05-08,1
Ahead of Market: 10 things that will decide D-Street action on Tuesday,2023-05-08,0
"Nexus Select Trust raises Rs 1,440 crore via fully subscribed anchor book",2023-05-08,1
Blackstone's delisting offer for India's R Systems fails,2023-05-08,2
A slip between cup and lip:  MRF misses the 1 lakh mark by just Rs 67 despite hitting a 52-week high,2023-05-08,1
Exide Industries Q4 Results: Firm posts standalone profit of Rs 208 crore,2023-05-08,0
"S&P 500, Dow open higher led by regional banks",2023-05-08,1
"After a rally, tyre stocks may face the heat from slowing replacement demand",2023-05-08,0
Over 19 lakh PACL investors get their money back: Sebi,2023-05-08,0
"Tech View: Nifty in buy mode till 18,200. What should traders do on Tuesday",2023-05-08,0
"Sensex jumps 710 pts, Nifty above 18,250; Tata Motors surges 5%, Adani Transmission tanks 5%",2023-05-08,1
Increasing promoter stake: These 5 stocks surge up to 190% in 1 year,2023-05-08,1
Bank of India shares plunge 9% as NPAs rise in Q4,2023-05-08,1
Momentum Pick: Titan shares are poised for 17% upside. Factors that are likely to support up-move,2023-05-08,1
"Up 1,500% in 2 years! This multibagger smallcap hits 5% upper circuit post Q4 results",2023-05-08,1
Utkarsh 2.0 RBI’s strategy framework – key points to know,2023-05-08,0
Broking players add new income streams amid rising competition; 5 stocks that can rally up to 56%,2023-05-08,1
"Japanese shares end lower amid stronger yen, US bank jitters",2023-05-08,2
Sensex zooms 710 points: 7 key factors driving the rally,2023-05-08,1
Stock picks of the week: 5 stocks with consistent score improvement and upside potential of up to 46%,2023-05-08,1
Chart Check: Breakout from inverse head & shoulder pattern makes Tata Motors an attractive buy; here’s why,2023-05-08,1
Top Nifty50 stocks analysts suggest buying this week,2023-05-08,1
Multibagger Olectra Greentech shares jump 10% as Q4 profit soars 52%,2023-05-08,1
TCNS Clothing shares crash 19% as Aditya Birla Fashion to acquire majority stake,2023-05-08,1
Star Performers! These 26 stocks gave index-beating returns in June quarter of last 3 FYs,2023-05-08,1
"At multi-year highs: TVS Motor, MRF among 7 stocks that gave 5-year breakouts",2023-05-08,1
"Sensex gains 300 points, Nifty tops 18,150; IndusInd Bank rises 3%",2023-05-08,1
"Bulls return to D-Street! Sensex climbs over 700 points, Nifty tops 18,200",2023-05-08,0
Profit booking likely in pharma giant as options open in agro-chemical company,2023-05-08,1
Technical picks: 3 stocks that can rally up to 12% in near term,2023-05-08,1
Stocks to buy or sell today: 4 short-term trading ideas by experts for 8 May 2023,2023-05-08,0
A software stock and shipping share with potential of 4.5% and 8% rise,2023-05-08,1
"Buy or Sell: Stock ideas by experts for May 08, 2023",2023-05-08,2
"Stocks in focus: DCB Bank, Blue dart and more",2023-05-08,1
Positive Breakout: These 9 stocks crossed their 200 DMAs,2023-05-08,1
"Hot Stocks: Brokerages on Britannia, IndusInd Bank, Bank of India and Aditya Birla Fashion",2023-05-08,1
"Asian shares inch higher, U.S. inflation test looms",2023-05-08,1
Share of foreign currency assets in overseas securities rises to 81%,2023-05-08,1
Blackstone's delisting offer for India's R Systems International fails,2023-05-08,2
Strong fourth quarter perks up Paytm stock; stock jumps nearly 5%,2023-05-08,1
Bain Capital seeks to raise $4 bn for new global special situations fund,2023-05-08,0
Two Adani group stocks decline by daily limit as MSCI trims weight,2023-05-08,2
Equities rebound on easing recession worries; HDFC twins back in green,2023-05-08,1
"Reducing pie: Promoter pledging dips during March quarter, shows data",2023-05-08,2
Mankind Pharma to make market debut on Tuesday following a successful IPO,2023-05-08,0
"Sensex leaps 710 pts after a day's hiatus; TaMo, IndusInd rise 5%, PSBs dip",2023-05-08,2
Over 1.9 mn PACL investors received Rs 920 crore in total back: Sebi,2023-05-08,0
This smallcap glass container firm has made investors richer by 5x in 5 yrs,2023-05-08,1
Sensex recovers 800 pts from Friday's low; key reasons behind the rally,2023-05-08,2
Gujarat Ambuja Exports sinks 12% as net profit more-than-halves in Q4FY23,2023-05-08,1
"MSCI cuts free float in Adani Transmission, Adani Total Gas; stocks sink 5%",2023-05-08,2
"FMCG index likely to hit 50,000; ITC, Britannia, Marico may rally up to 20%",2023-05-08,1
"TCNS deal may raise debt, near-term profitability risks for ABFRL: Analysts",2023-05-08,0
Marico zooms 9% on steady Q4 performance; brokerages upgrade stock,2023-05-08,1
Olectra Greentech jumps 10% after net profit rises 52% YoY in Q4,2023-05-08,1
Equitas Small Finance Bank zooms 8% on solid March quarter results,2023-05-08,1
"Gold declines Rs 325 to Rs 60,925 per 10 gram; silver dips by Rs 965",2023-05-08,2
"Paytm, ABFRL, Coal India, BoI, Adani Power among top stocks to watch today",2023-05-08,1
Best of sovereign bond rally may be over with sales deluge coming,2023-05-08,1
"  Raymond, Larsen & Toubro and Apollo Tyres | Top stocks to watch on May 10",2023-05-09,1
  Trade setup for Wednesday: Top 15 things to know before the opening bell,2023-05-09,1
  Nexus Select Trust REIT IPO subscribed 28% on first day of offer,2023-05-09,1
  Mankind Pharma powered up 32% on debut: Here are the key reasons,2023-05-09,1
"  US sales, brand deals to seal the fortune for Dr Reddy's in Q4",2023-05-09,1
